PF,num_test,modelDL,modelET,blast,hmm,protenn
PF01832,42,0.0,0.0,0.023809523809523836,0.09523809523809523,0.0
PF14264,9,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0
PF14845,2,0.0,0.0,0.5,1.0,0.0
PF00534,3,1.0,0.0,1.0,0.0,0.0
PF00535,15,0.06666666666666665,0.06666666666666665,0.0,0.6,0.0
PF03537,7,0.0,0.0,0.1428571428571429,0.1428571428571429,0.1428571428571429
PF07944,5,0.0,0.0,0.0,0.0,0.0
PF04041,2,1.0,0.0,0.0,0.0,1.0
PF00723,5,1.0,0.0,0.8,0.4,0.8
PF00332,1,0.0,0.0,0.0,0.0,1.0
PF00704,8,0.125,0.0,1.0,0.25,0.0
PF00703,1,0.0,0.0,0.0,0.0,0.0
PF02838,2,0.0,0.0,0.0,0.0,0.0
PF01183,1,0.0,0.0,0.0,0.0,0.0
PF08244,3,0.0,0.0,0.33333333333333337,0.33333333333333337,0.0
PF01074,2,0.5,0.0,0.0,0.0,0.0
PF01229,1,1.0,0.0,0.0,0.0,1.0
PF04616,2,0.0,0.0,0.0,0.0,0.0
PF12891,1,0.0,0.0,0.0,0.0,0.0
PF03065,1,0.0,1.0,0.0,0.0,1.0
PF03636,8,0.0,0.0,0.0,0.0,0.0
PF03663,2,1.0,0.0,0.0,1.0,0.5
PF07470,3,0.0,0.0,0.0,0.0,0.0
PF00759,33,0.0,0.0,0.0,0.21212121212121215,0.0
PF11790,1,0.0,0.0,0.0,0.0,1.0
PF12215,16,0.0,0.0,0.0,0.1875,0.1875
PF10111,1,1.0,1.0,1.0,1.0,1.0
PF13641,4,0.0,0.25,1.0,1.0,0.25
PF13704,2,0.0,0.0,0.0,0.5,0.0
PF13506,5,0.0,0.4,0.0,0.4,0.0
PF03901,3,0.0,0.0,0.0,0.0,0.0
PF01755,1,0.0,1.0,0.0,0.0,0.0
PF05637,1,0.0,0.0,0.0,0.0,1.0
PF13439,69,0.14492753623188404,0.05797101449275366,0.30434782608695654,0.7391304347826086,0.0
PF13896,2,0.0,0.0,0.0,0.0,0.0
PF07922,2,0.0,0.0,1.0,1.0,1.0
PF01501,1,0.0,0.0,0.0,0.0,0.0
PF01075,1,0.0,0.0,0.0,0.0,0.0
PF01697,9,0.0,0.0,0.11111111111111116,0.0,0.0
PF13524,2,0.5,0.0,1.0,0.5,0.0
PF13632,11,0.5454545454545454,0.0,0.6363636363636364,0.5454545454545454,0.0
PF13477,4,1.0,1.0,1.0,0.5,0.25
PF13579,22,0.6818181818181819,0.5909090909090908,0.9090909090909091,0.5454545454545454,0.0
PF16994,1,0.0,0.0,0.0,0.0,0.0
PF04101,4,0.25,0.25,0.0,0.0,1.0
PF00903,10,0.30000000000000004,0.0,0.5,0.7,0.4
PF13468,2,0.0,0.0,0.0,0.5,0.0
PF13669,7,0.2857142857142857,0.0,1.0,0.2857142857142857,0.0
PF01228,7,1.0,0.0,1.0,0.1428571428571429,1.0
PF00732,3,0.0,0.0,0.6666666666666667,1.0,1.0
PF12369,1,0.0,0.0,1.0,1.0,1.0
PF08804,2,0.0,0.0,0.5,0.5,0.0
PF00517,1,1.0,0.0,1.0,0.0,1.0
PF10192,4,0.0,0.0,0.0,0.0,0.0
PF10110,4,0.0,0.0,0.0,0.25,0.0
PF06560,1,1.0,0.0,0.0,1.0,1.0
PF05719,4,0.0,0.0,0.25,0.5,0.0
PF02800,3,0.0,0.0,1.0,0.33333333333333337,1.0
PF02893,2,1.0,0.0,1.0,0.5,1.0
PF01271,2,1.0,0.0,0.0,0.0,0.0
PF16984,1,1.0,0.0,0.0,0.0,1.0
